INDEX,LN_Count,LN_Total,LN_CD4#,LN_CD8#,LN_gd T cells#,LN_T reg#,LN_CD8 CD44 CD62Llo#,LN_CD4 CD44 CD62Llo#,LN_CD8 CD25+#,LN_CD8 CD27+#,LN_CD8 CD38+#,LN_CD8 CD69+#,LN_CD8 KLRG1+#,LN_CD8 PD-1+#,LN_B cells#,LN_GC cells#,LN_IgD- #,LN_Plasma cells#,LN_NK cells#,LN_CD107+NK#,LN_CD45#,LN_CD64-F4/80- #,LN_neutrophils#,LN_DC#,LN_mac#,SPLEEN_Count,SPLEEN_Total,SPLEEN_CD4#,SPLEEN_CD8#,SPLEEN_gd T cells#,SPLEEN_T reg#,SPLEEN_CD8 CD44 CD62Llo#,SPLEEN_CD4 CD44 CD62Llo#,SPLEEN_CD8 CD25+#,SPLEEN_CD8 CD27+#,SPLEEN_CD8 CD38+#,SPLEEN_CD8 CD69+#,SPLEEN_CD8 KLRG1+#,SPLEEN_CD8 PD-1+#,SPLEEN_B cells#,SPLEEN_GC cells#,SPLEEN_IgD- #,SPLEEN_Plasma cells#,SPLEEN_NK cells#,SPLEEN_CD107+NK#,SPLEEN_CD45#,SPLEEN_CD64-F4/80- #,SPLEEN_neutrophils#,SPLEEN_DC#,SPLEEN_mac#,CYTOKINE_IFN-γ,CYTOKINE_IL-10,CYTOKINE_CCL4 (MIP-1β),CYTOKINE_IFN-α,CYTOKINE_CXCL9,CYTOKINE_CXCL10,CYTOKINE_TNF-α,CYTOKINE_IL-6,CYTOKINE_VEGF,CYTOKINE_IL-4,CYTOKINE_CCL3 (MIP-1α),CYTOKINE_CCL2 (MCP-1),CYTOKINE_GM-CSF
B6_H_6,44,660000,291720,162360,10692,7847.268,1574.892,11143.704,1915.848,158788.08,633.204,3701.808,122257.08,1574.892,25938,487.6344,633600,4181.76,3432,174.6888,654720,651446.4,130.28928,3142.656,72.0192,77,23100000,4019400,2587200,263340,101690.82,68819.52,747608.4,1811.04,2473363.2,211115.52,28976.64,13194.72,15523.2,3857700,15045.03,19588800,47013.12,457380,36224.496,20328000,18864384,245236.992,569184,758234.4,4.44,0,27.55,98.804,0,2092.1,7.51,4.11,17.33,1.08,90.2,96.52,0
B6_H_6,40,600000,337200,73800,8940,13488,996.3,14094.96,1394.82,71364.6,361.62,2014.74,58154.4,804.42,25800,90.3,573000,4813.2,4020,207.432,595200,591033.6,82.744704,3511.68,89.28,49,14700000,3557400,2249100,155820,76839.84,40258.89,512265.6,2249.1,2199619.8,84116.34,20016.99,4948.02,7871.85,3087000,8334.9,11965800,29914.5,620340,42989.562,14200200,13617991.8,141627.1147,296784.18,328024.62,4.97,0,18.55,0,0,254.02,0,9.39,0,0,0,0,0
B6_H_6,16,240000,131520,54960,3912,4379.616,511.128,3629.952,708.984,53586,131.904,1170.648,42319.2,445.176,9456,50.1168,230640,691.92,1320,21.384,239280,238083.6,23.3321928,646.056,23.3298,401,120300000,26706600,21052500,1503750,681018.3,458944.5,3792337.2,18736.725,20547240,955783.5,159999,69473.25,71578.5,25022400,50044.8,97202400,272166.72,5858610,374951.04,110676000,103371384,1498885.068,3552699.6,4249958.4,1,722.82,0,0,72.05,581.76,0,2.96,4.61,0.31,113.65,40.34,0
B6_H_6,58,870000,466320,160950,12615,12264.216,2124.54,17766.792,1818.735,154833.9,466.755,3476.52,116527.8,1512.93,32451,386.1669,834330,7091.805,9222,663.0618,869130,863915.22,66.52147194,3128.868,0,323,96900000,25000200,17248200,1075590,790006.32,267347.1,2900023.2,13281.114,16972228.8,655431.6,125911.86,46570.14,72442.44,14922600,20891.64,83430900,183547.98,4660890,300627.405,87791400,82699498.8,785645.2386,2168447.58,2958570.18,5.52,0,10.47,139.227,3.98,0,0,9.39,0.95,1.42,0,25.98,7.47
B6_L_6,50,750000,361500,198000,12750,9905.1,2989.8,17352,653.4,190872,356.4,4237.2,150678,495,41475,518.4375,708000,6938.4,5700,310.08,748500,743260.5,45.7848468,2245.5,0,396,118800000,25304400,20314800,1544400,705992.76,300659.04,3618529.2,14017.212,19806930,1054338.12,182833.2,22346.28,58912.92,31363200,87816.96,89694000,251143.2,5286600,374291.28,114523200,107651808,968866.272,3344077.44,4351881.6,1,0,0,0,109.38,581.76,0,1.22,0,0.78,296.76,118.57,40.13
B6_L_6,23,345000,156975,85215,4381.5,3013.92,852.15,6153.42,417.5535,81806.4,127.8225,2002.5525,66893.775,272.688,29049,75.5274,315330,2428.041,1863,59.616,342585,338816.565,17.61846138,1644.408,75.3687,278,83400000,14678400,12927000,1217640,378702.72,404615.1,1893513.6,9048.9,12487482,1512459,125391.9,84025.5,170636.4,28522800,26240.976,58129800,180202.38,2835600,162196.32,79897200,76062134.4,859502.1187,1773717.84,2149234.68,34.63,166.34,0,29.153,39.21,867.6,7.51,5.43,0.95,1.08,163.33,96.52,7.47
B6_L_6,46,690000,169740,169050,12213,5397.732,2840.04,7858.962,371.91,162964.2,845.25,8401.785,100077.6,1081.92,131100,275.31,560970,5553.603,10281,480.1227,638250,632505.75,94.8758625,13977.675,702.075,48,14400000,3412800,2534400,204480,115352.64,51448.32,505094.4,1926.144,2478643.2,109232.64,21795.84,8363.52,10137.6,3024000,9072,11721600,30476.16,624960,33685.344,13795200,13105440,129743.856,289699.2,445584.96,2.52,557.23,3.85,61.574,0,427.47,0,0,8.59,1.24,242.34,118.57,7.47
B6_L_6,19,285000,120555,83220,4189.5,2724.543,1156.758,5798.6955,216.372,79891.2,149.796,2005.602,54758.76,216.372,12226.5,12.2265,271890,2501.388,2023.5,49.98045,283575,282157.125,22.60078571,1219.3725,34.029,614,184200000,40155600,30024600,2541960,1256870.28,513420.66,5621784,30024.6,29364058.8,1071878.22,204167.28,45036.9,90073.8,39418800,94605.12,149754600,449263.8,8988960,497089.488,176832000,169758720,1425973.248,3271392,4137868.8,5.52,0,10.47,61.574,0,581.76,0.131,1.22,29.34,2.64,13.27,48.45,0
B6_L_6,20,300000,127200,93300,3960,2544,933,5049.84,177.27,90034.5,121.29,1651.41,61764.6,205.26,15240,41.148,284100,2187.57,2040,65.688,299700,298800.9,8.6652261,689.31,2.169828,434,130200000,30466800,21613200,1588440,917050.68,311230.08,4021617.6,15345.372,21224162.4,667847.88,162099,25935.84,69162.24,28904400,31794.84,104550600,282286.62,5221020,313783.302,126424200,121493656.2,1421475.778,2250350.76,2920399.02,1,166.34,3.85,98.804,72.05,427.47,92.784,0,0.95,1.24,90.2,96.52,0
B6_H_10,102,1530000,530910,403920,18054,20227.671,2908.224,31270.599,1656.072,391802.4,3069.792,8684.28,210442.32,1938.816,197370,907.902,1323450,5426.145,10098,57.5586,1448910,1437318.72,474.3151776,4781.403,159.3801,81,24300000,4617000,2867400,315900,125120.7,95771.16,660231,3154.14,2678151.6,88315.92,8602.2,17777.88,17777.88,3256200,1302.48,20995200,37791.36,1081350,5514.885,19877400,18148066.2,1286697.894,168957.9,1498755.96,0.44,0,0,29.153,0,867.6,0,99.62,4.61,1.79,0,299.24,0
