INDEX,LN_Count,LN_Total,LN_CD4#,LN_CD8#,LN_gd T cells#,LN_T reg#,LN_CD8 CD44 CD62Llo#,LN_CD4 CD44 CD62Llo#,LN_CD8 CD25+#,LN_CD8 CD27+#,LN_CD8 CD38+#,LN_CD8 CD69+#,LN_CD8 KLRG1+#,LN_CD8 PD-1+#,LN_B cells#,LN_GC cells#,LN_IgD- #,LN_Plasma cells#,LN_NK cells#,LN_CD107+NK#,LN_CD45#,LN_CD64-F4/80- #,LN_neutrophils#,LN_DC#,LN_mac#,SPLEEN_Count,SPLEEN_Total,SPLEEN_CD4#,SPLEEN_CD8#,SPLEEN_gd T cells#,SPLEEN_T reg#,SPLEEN_CD8 CD44 CD62Llo#,SPLEEN_CD4 CD44 CD62Llo#,SPLEEN_CD8 CD25+#,SPLEEN_CD8 CD27+#,SPLEEN_CD8 CD38+#,SPLEEN_CD8 CD69+#,SPLEEN_CD8 KLRG1+#,SPLEEN_CD8 PD-1+#,SPLEEN_B cells#,SPLEEN_GC cells#,SPLEEN_IgD- #,SPLEEN_Plasma cells#,SPLEEN_NK cells#,SPLEEN_CD107+NK#,SPLEEN_CD45#,SPLEEN_CD64-F4/80- #,SPLEEN_neutrophils#,SPLEEN_DC#,SPLEEN_mac#,CYTOKINE_IFN-γ,CYTOKINE_IL-10,CYTOKINE_CCL4 (MIP-1β),CYTOKINE_IFN-α,CYTOKINE_CXCL9,CYTOKINE_CXCL10,CYTOKINE_TNF-α,CYTOKINE_IL-6,CYTOKINE_VEGF,CYTOKINE_IL-4,CYTOKINE_CCL3 (MIP-1α),CYTOKINE_CCL2 (MCP-1),CYTOKINE_GM-CSF
BALBc_H_10,191,2865000,1601535,707655,22060.5,74151.0705,15993.003,57655.26,2618.3235,646796.67,3042.9165,20451.2295,576738.825,1698.372,195106.5,13130.66745,2684505,5905.911,1461.15,76.27203,2830620,2824958.76,206.7869812,9624.108,0,105,31500000,8410500,4630500,163800,364174.65,282460.5,1682100,12039.3,4190602.5,137988.9,47694.15,42600.6,16669.8,8599500,6277.635,23562000,16729.02,75600,14742,29484000,27508572,143044.5744,524815.2,1462406.4,2.09,0,18.55,0,0,0,0,0.25,10.68,2.2,351.93,57.11,0
BALBc_H_10,194,2910000,1551030,762420,19788,92441.388,12122.478,84065.826,3049.68,726586.26,2134.776,22033.938,624421.98,2134.776,197880,11734.284,2723760,4902.768,2153.4,14.42778,2723760,2718312.48,128.8480116,12256.92,0,76,22800000,6042000,3442800,129960,296662.2,218617.8,1625298,12394.08,3146719.2,73331.64,38903.64,29263.8,16869.72,7410000,5038.8,15960000,20748,61560,7571.88,21956400,20353582.8,81414.3312,485236.44,1196623.8,8.5,166.34,3.85,61.574,13.11,1004.22,20.659,0,4.61,1.42,13.27,14.43,40.13
BALBc_H_10,65,975000,540150,249600,10822.5,28844.01,3519.36,21768.045,1198.08,224889.6,374.4,4767.36,222393.6,524.16,65130,709.917,909675,2092.2525,1072.5,17.26725,971100,968186.7,20.3319207,2039.31,10.19655,126,37800000,6804000,5443200,211680,367416,317882.88,1258740,11430.72,4980528,201942.72,46811.52,93623.04,17962.56,9714600,6411.636,29219400,17823.834,68040,11022.48,32848200,30384585,340307.352,486153.36,1875632.22,0.24,166.34,0,139.227,39.21,581.76,0,328.92,4.61,0.52,242.34,96.52,40.13
BALBc_H_10,85,1275000,705075,337875,10072.5,44842.77,3243.6,27779.955,1621.8,319629.75,641.9625,7703.55,306114.75,506.8125,75735,878.526,1199775,2159.595,1249.5,50.9796,1267350,1263547.95,43.97146866,2788.17,0,42,12600000,3301200,2091600,63000,168361.2,124868.52,689950.8,4392.36,1959829.2,49989.24,23635.08,9203.04,7320.6,3792600,5309.64,9210600,8473.752,28980,4115.16,12108600,11430518.4,27433.24416,219165.66,508561.2,7.87,376,18.55,61.574,39.21,0,0,8.53,0,1.79,47.4,19.83,58.48
BALBc_L_10,23,345000,198720,104880,2208,7968.672,1227.096,9240.48,985.872,98482.32,95.4408,2391.264,92923.68,102.7824,19527,197.2227,325335,48.80025,724.5,0,343965,342589.14,25.86548007,447.1545,0,19,1140000,256500,141360,6270,11927.25,15690.96,47965.5,381.672,77748,2544.48,1484.28,1116.744,494.76,435480,261.288,735300,375.003,2052,307.8,1059060,989162.04,7517.631504,16309.524,45327.768,7.26,29.99,3.85,226.099,0,0,73.38,0.63,0,0.52,13.27,40.34,0
BALBc_L_10,79,1185000,633975,324690,8413.5,16166.3625,5714.544,32269.3275,1363.698,307481.43,295.4679,8441.94,263323.59,551.973,88756.5,1100.5806,1097310,2084.889,1078.35,33.64452,1180260,1175538.96,105.9160603,1534.338,16.287588,20,6000000,1746000,954000,49800,67395.6,84619.8,455706,3720.6,779418,31386.6,10875.6,9826.2,6010.2,1758000,650.46,4332000,2902.44,21000,5439,5742000,5144832,18521.3952,148143.6,445579.2,1,0,0,4.94,0,0,0,1.22,0,0.52,13.27,75.94,7.47
BALBc_L_10,74,1110000,601620,318570,8880,28276.14,4013.982,36157.362,1337.994,294677.25,414.141,8123.535,278111.61,477.855,79587,1886.2119,1032300,2167.83,2886,81.3852,1105560,1101137.76,79.28191872,2321.676,0,93,27900000,6807600,3878100,206460,282515.4,387810,1933358.4,12022.11,3121870.5,104708.7,44985.96,48088.44,17839.26,8732700,9605.97,19809000,15451.02,83700,15233.4,25361100,22875712.2,134966.702,550335.87,1843751.97,0.04,0,18.55,4.94,0,0,0,1.22,0.95,1.08,0,1.37,0
BALBc_L_10,92,1380000,770040,401580,9384,36961.92,7308.756,41813.172,1606.32,377485.2,602.37,7951.284,343350.9,963.792,84732,1262.5068,1295820,1943.73,2346,62.6382,1368960,1363484.16,64.22010394,3285.504,7.1322816,113,33900000,8881800,4847700,162720,495604.44,316554.81,1945114.2,11634.48,4382320.8,129918.36,47992.23,35872.98,26662.35,9288600,3808.326,25153800,15846.894,77970,12241.29,32001600,30017500.8,159092.7542,499224.96,1452872.64,0.24,0,18.55,0,0,254.02,0,0.25,0.95,0.64,13.27,57.11,0
BALBc_L_10,36,540000,300240,151740,3726,9607.68,2928.582,16843.464,895.266,139600.8,212.436,3125.844,127461.6,288.306,40500,64.8,498420,897.156,1026,9.6444,537840,536226.48,26.65045606,752.976,6.669216,2,120000,37920,19920,792,284.4,5657.28,7773.6,23.904,1671.288,209.16,173.304,119.52,99.6,34320,44.616,88080,25.5432,192,3.3024,117240,113136.6,610.93764,926.196,2462.04,2.52,0,57.68,61.574,13.11,0,0.131,0.25,8.59,0.31,2.12,6.12,136.5
BALBc_H_14,34,510000,287640,136170,5661,8629.2,8524.242,31640.4,857.871,114246.63,1007.658,6045.948,117106.2,1579.572,116790,5360.661,392700,431.97,765,90.27,508980,507453.06,76.117959,2646.696,239.2206,51,15300000,8629200,4085100,169830,258876,329259.06,949212,17157.42,3427398.9,10212.75,137667.87,3378377.7,44936.1,3503700,13314.06,11781000,12959.1,22950,2708.1,13509900,12780365.4,532941.2372,126993.06,375575.22,0.09,0,0,61.574,0,0,0,2.96,0,0.78,47.4,6.12,0
